Lambda[um],T
0.1,0.0
0.15000000000000002,0.0
0.20000000000000004,0.0
0.25000000000000006,0.0
0.30000000000000004,0.0
0.3500000000000001,0.0
0.40000000000000013,0.0
0.45000000000000007,0.0
0.5000000000000001,0.0
0.5500000000000002,0.0
0.6000000000000002,0.0
0.6500000000000001,0.0
0.7000000000000002,0.0
0.7500000000000002,0.0
0.8000000000000002,0.0
0.8500000000000002,0.0
0.9000000000000002,0.0
0.9500000000000003,0.0
1.0000000000000004,0.0
1.0500000000000003,0.0
1.1000000000000005,0.0
1.1500000000000004,0.0
1.2000000000000004,0.0
1.2500000000000004,0.0
1.3000000000000005,0.0
1.3500000000000005,0.0
1.4000000000000006,0.0
1.4500000000000006,0.0
1.5000000000000004,0.0017
1.5500000000000005,0.0006
1.6000000000000005,0.0017
1.6500000000000006,0.0004
1.7000000000000006,0.0015
1.7500000000000007,0.0027
1.8000000000000007,0.0009
1.8500000000000008,0.0023
1.9000000000000008,0.0
1.9500000000000006,0.0018
2.0000000000000004,0.0003
2.0500000000000007,0.0
2.100000000000001,0.0
2.150000000000001,0.0011
2.2000000000000006,0.0
2.250000000000001,0.0017
2.3000000000000007,0.0
2.350000000000001,0.0002
2.400000000000001,0.001
2.450000000000001,0.0012
2.500000000000001,0.0
2.5500000000000007,0.0008
2.600000000000001,0.0
2.650000000000001,0.0001
2.700000000000001,0.0
2.750000000000001,0.0004
2.800000000000001,0.0017
2.850000000000001,0.0
2.900000000000001,0.0002
2.950000000000001,0.0015
3.000000000000001,0.0011
3.050000000000001,0.0006
3.100000000000001,0.0015
3.1500000000000012,0.0007
3.200000000000001,0.0009
3.2500000000000013,0.0011
3.300000000000001,0.0006
3.350000000000001,0.0006
3.4000000000000012,0.0002
3.450000000000001,0.0001
3.5000000000000013,0.0005
3.550000000000001,0.0015
3.6000000000000014,0.0005
3.6500000000000012,0.0
3.7000000000000015,0.0005
3.7500000000000013,0.0006
3.800000000000001,0.0005
3.8500000000000014,0.0039
3.9000000000000012,0.2576
3.9500000000000015,0.8092
4.000000000000001,0.3937
4.050000000000002,0.005
4.100000000000001,0.0001
4.150000000000001,0.0
4.200000000000001,0.0016
4.250000000000001,0.0024
4.300000000000001,0.0008
4.350000000000001,0.0009
4.400000000000001,0.0012
4.450000000000001,0.0003
4.500000000000001,0.0
4.550000000000001,0.0009
4.600000000000001,0.0007
4.650000000000001,0.0003
4.700000000000001,0.0
4.750000000000001,0.0002
4.800000000000002,0.0011
4.850000000000001,0.0
4.900000000000001,0.0008
4.950000000000001,0.0002
5.000000000000001,0.0007
5.050000000000002,0.0001
5.100000000000001,0.0011
5.150000000000001,0.0
5.200000000000001,0.0002
5.250000000000002,0.0003
5.300000000000002,0.0004
5.350000000000001,0.0008
5.400000000000001,0.0
5.450000000000001,0.0011
5.500000000000002,0.0009
5.550000000000002,0.0008
5.600000000000001,0.0008
5.650000000000001,0.0011
5.700000000000001,0.0005
5.750000000000002,0.0
5.800000000000002,0.0001
5.850000000000001,0.0004
5.900000000000001,0.0008
5.950000000000002,0.0009
6.000000000000002,0.0
6.050000000000002,0.0002
6.100000000000001,0.0
6.150000000000001,0.0009
6.200000000000002,0.0
6.250000000000002,0.0011
6.300000000000002,0.001
6.350000000000001,0.0001
6.400000000000002,0.0019
6.450000000000002,0.0004
6.500000000000002,0.0012
6.550000000000002,0.0006
6.600000000000001,0.0005
6.650000000000002,0.0005
6.700000000000002,0.0004
6.750000000000002,0.0
6.800000000000002,0.0012
6.850000000000002,0.0001
6.900000000000002,0.0006
6.950000000000002,0.0002
7.000000000000002,0.0002
7.050000000000002,0.0
7.100000000000002,0.0014
7.150000000000002,0.0004
7.200000000000002,0.0001
7.250000000000002,0.0005
7.3000000000000025,0.0011
7.350000000000002,0.0
7.400000000000002,0.0005
7.450000000000002,0.0019
7.500000000000002,0.001
7.5500000000000025,0.0004
7.600000000000002,0.0004
7.650000000000002,0.0006
7.700000000000002,0.0007
7.750000000000002,0.0
7.8000000000000025,0.0
7.850000000000002,0.0
7.900000000000002,0.0008
7.950000000000002,0.0014
8.000000000000004,0.0008
8.050000000000002,0.0021
8.100000000000003,0.0005
8.150000000000002,0.0017
8.200000000000003,0.0
8.250000000000002,0.0008
8.300000000000002,0.0001
8.350000000000003,0.0
8.400000000000002,0.003
8.450000000000003,0.0008
8.500000000000002,0.0021
8.550000000000002,0.0003
8.600000000000003,0.0015
8.650000000000002,0.0008
8.700000000000003,0.0
8.750000000000002,0.0006
8.800000000000002,0.0014
8.850000000000003,0.0027
8.900000000000002,0.0021
8.950000000000003,0.0021
9.000000000000002,0.0
9.050000000000002,0.0
9.100000000000003,0.001
9.150000000000002,0.0009
9.200000000000003,0.0004
9.250000000000004,0.0039
9.300000000000002,0.0042
9.350000000000003,0.001
9.400000000000002,0.0023
9.450000000000003,0.0003
9.500000000000004,0.0008
9.550000000000002,0.0026
9.600000000000003,0.0016
9.650000000000002,0.001
9.700000000000003,0.0014
9.750000000000004,0.002
9.800000000000002,0.0021
9.850000000000003,0.0007
9.900000000000002,0.0
9.950000000000003,0.0
10.000000000000004,0.0009
10.050000000000002,0.0002
10.100000000000003,0.0013
10.150000000000002,0.0024
10.200000000000003,0.0024
10.250000000000004,0.0033
10.300000000000002,0.0
10.350000000000003,0.0
10.400000000000004,0.0
10.450000000000003,0.0009
10.500000000000004,0.0033
10.550000000000002,0.0012
10.600000000000003,0.0019
10.650000000000004,0.0011
10.700000000000003,0.001
10.750000000000004,0.0028
10.800000000000002,0.003
10.850000000000003,0.0002
10.900000000000004,0.0
10.950000000000003,0.0029
11.000000000000004,0.002
11.050000000000002,0.0009
11.100000000000003,0.0012
11.150000000000004,0.0
11.200000000000003,0.0
11.250000000000004,0.0038
11.300000000000002,0.0006
11.350000000000003,0.0035
11.400000000000004,0.0029
11.450000000000003,0.0
11.500000000000004,0.0047
11.550000000000004,0.0078
11.600000000000003,0.0077
11.650000000000004,0.0133
11.700000000000003,0.0098
11.750000000000004,0.0127
11.800000000000004,0.016
11.850000000000003,0.0234
11.900000000000004,0.0251
11.950000000000003,0.0357
12.000000000000004,0.0462
12.050000000000004,0.0596
12.100000000000003,0.072
12.150000000000004,0.076
12.200000000000003,0.0836
12.250000000000004,0.0869
12.300000000000004,0.0853
12.350000000000003,0.0752
12.400000000000004,0.0613
12.450000000000005,0.0581
12.500000000000004,0.0454
12.550000000000004,0.0358
12.600000000000003,0.0332
12.650000000000004,0.0293
12.700000000000005,0.0247
12.750000000000004,0.0251
12.800000000000004,0.0218
12.850000000000003,0.0213
12.900000000000004,0.0233
12.950000000000005,0.0194
13.000000000000004,0.0193
13.050000000000004,0.0136
13.100000000000003,0.0183
13.150000000000004,0.0159
13.200000000000005,0.0137
13.250000000000004,0.0135
13.300000000000004,0.0101
13.350000000000003,0.0145
13.400000000000004,0.0113
13.450000000000005,0.014
13.500000000000004,0.0089
13.550000000000004,0.0076
13.600000000000005,0.0064
13.650000000000004,0.0106
13.700000000000005,0.0114
13.750000000000004,0.0125
13.800000000000004,0.0149
13.850000000000005,0.0149
13.900000000000004,0.0092
13.950000000000005,0.0082
14.000000000000004,0.0084
14.050000000000004,0.0109
14.100000000000005,0.0127
14.150000000000004,0.0148
14.200000000000005,0.0142
14.250000000000004,0.0157
14.300000000000004,0.0159
14.350000000000005,0.0154
14.400000000000004,0.0143
14.450000000000005,0.0101
14.500000000000005,0.0093
14.550000000000004,0.0126
14.600000000000005,0.0143
14.650000000000004,0.0117
14.700000000000005,0.0119
14.750000000000005,0.0151
14.800000000000004,0.0215
14.850000000000005,0.0135
14.900000000000004,0.0136
14.950000000000005,0.0153
15.000000000000005,0.0144
15.050000000000004,0.0136
15.100000000000005,0.0111
15.150000000000004,0.0181
15.200000000000005,0.0171
15.250000000000005,0.0183
15.300000000000004,0.022
15.350000000000005,0.0238
15.400000000000004,0.0244
15.450000000000005,0.0231
15.500000000000005,0.0221
15.550000000000004,0.0238
15.600000000000005,0.0253
15.650000000000006,0.0228
15.700000000000005,0.02
15.750000000000005,0.0266
15.800000000000004,0.0249
15.850000000000005,0.0228
15.900000000000006,0.0237
15.950000000000005,0.0265
16.000000000000007,0.0237
16.050000000000004,0.0272
16.10000000000001,0.031
16.150000000000006,0.0318
16.200000000000006,0.0285
16.250000000000007,0.0344
16.300000000000008,0.0311
16.35000000000001,0.0291
16.400000000000006,0.0393
16.450000000000006,0.0379
16.500000000000007,0.0388
16.550000000000008,0.0476
16.60000000000001,0.0654
16.650000000000006,0.0686
16.700000000000006,0.067
16.750000000000007,0.0769
16.800000000000008,0.0858
16.85000000000001,0.0896
16.900000000000006,0.0883
16.950000000000006,0.0934
17.000000000000007,0.0914
17.050000000000008,0.0879
17.10000000000001,0.0857
17.150000000000006,0.0868
17.200000000000006,0.0849
17.250000000000007,0.0804
17.300000000000008,0.0759
17.35000000000001,0.0753
17.400000000000006,0.0706
17.450000000000006,0.0682
17.500000000000007,0.0573
17.550000000000008,0.0558
17.60000000000001,0.052
17.650000000000006,0.0481
17.700000000000006,0.0391
17.750000000000007,0.0397
17.800000000000008,0.0366
17.85000000000001,0.042
17.900000000000006,0.0326
17.950000000000006,0.0288
18.000000000000007,0.0308
18.050000000000008,0.0208
18.10000000000001,0.0178
18.150000000000006,0.0186
18.200000000000006,0.0224
18.250000000000007,0.0142
18.300000000000008,0.0165
18.35000000000001,0.0276
18.40000000000001,0.0285
18.450000000000006,0.0247
18.500000000000007,0.0225
18.550000000000008,0.0275
18.60000000000001,0.0245
18.65000000000001,0.016
18.700000000000006,0.0096
18.750000000000007,0.0097
18.800000000000008,0.006
18.85000000000001,0.0101
18.90000000000001,0.0183
18.950000000000006,0.0084
19.000000000000007,0.0128
19.050000000000008,0.0189
19.10000000000001,0.0178
19.15000000000001,0.0179
19.200000000000006,0.0134
19.250000000000007,0.0133
19.300000000000008,0.0177
19.35000000000001,0.0238
19.40000000000001,0.0263
19.450000000000006,0.0307
19.500000000000007,0.0343
19.550000000000008,0.029
19.60000000000001,0.0241
19.65000000000001,0.0169
19.700000000000006,0.0061
19.750000000000007,0.008
19.800000000000008,0.0145
19.85000000000001,0.0047
19.90000000000001,0.0055
19.950000000000006,0.012
