3.95,10.95,MW,LW,WIDE,Temp,TH1,TH2,THAVG
18.53,48.34,6.45,63.65,15.31,373,780.72,780.72,780.72
18.53,52.37,6.45,62.84,15.31,373,777.5,779.92,778.71
16.11,49.95,6.45,66.87,16.92,373,772.67,776.69,774.68
17.73,49.15,6.45,63.65,17.73,373,776.69,777.5,777.095
19.34,49.95,6.45,62.84,16.11,373,774.28,776.69,775.485
16.92,49.95,8.06,62.84,15.31,373,770.25,775.89,773.07
19.34,50.76,8.86,64.46,18.53,373,771.86,775.89,773.875
19.34,49.95,5.64,64.46,16.92,373,771.05,772.67,771.86
18.53,49.95,5.64,62.04,16.92,373,768.64,772.67,770.655
20.14,49.15,7.25,65.26,16.11,373,766.22,771.05,768.635
16.92,49.15,7.25,63.65,15.31,373,767.83,767.83,767.83
18.53,49.15,7.25,62.04,17.73,373,765.41,771.05,768.23
17.73,48.34,7.25,63.65,16.92,373,766.22,767.83,767.025
17.73,47.54,6.45,62.84,15.31,373,763,767.03,765.015
16.92,47.54,5.64,62.04,17.73,373,761.39,768.64,765.015
15.31,48.34,6.45,62.84,17.73,373,761.39,765.41,763.4
16.92,48.34,5.64,63.65,16.92,373,760.58,763,761.79
15.31,49.15,6.45,62.84,18.53,373,758.97,763.8,761.385
18.53,49.95,4.83,62.84,17.73,373,757.36,761.39,759.375
29.01,90.24,12.09,116.83,30.62,423,756.55,762.19,759.37
28.2,90.24,13.7,116.83,32.23,423,752.52,758.16,755.34
28.2,87.82,13.7,116.83,32.23,423,751.72,758.16,754.94
29.01,87.82,12.09,117.63,32.23,423,750.11,751.72,750.915
28.2,86.21,11.28,117.63,35.45,423,747.69,753.33,750.51
28.2,87.82,12.89,116.02,33.03,423,746.08,751.72,748.9
30.62,87.82,12.89,116.02,32.23,423,744.47,748.5,746.485
28.2,87.82,11.28,116.02,31.42,423,742.86,750.91,746.885
28.2,88.63,12.09,116.83,31.42,423,739.63,746.08,742.855
28.2,87.02,12.09,115.22,32.23,423,736.41,745.27,740.84
29.01,89.43,12.09,115.22,33.03,423,736.41,742.86,739.635
27.39,87.82,11.28,116.02,30.62,423,733.19,739.63,736.41
29.81,86.21,13.7,119.24,33.03,423,732.38,738.02,735.2
29.81,87.02,12.09,116.02,33.03,423,729.96,737.22,733.59
28.2,87.02,11.28,117.63,33.03,423,727.55,737.22,732.385
26.59,85.4,10.47,115.22,32.23,423,726.74,736.41,731.575
29.81,84.6,12.89,113.6,33.84,423,723.52,733.99,728.755
29.01,86.21,12.09,116.83,32.23,423,721.91,733.19,727.55
27.39,85.4,12.09,114.41,34.65,423,719.49,729.96,724.725
26.59,87.02,12.89,113.6,32.23,423,717.88,730.77,724.325
43.51,131.33,23.37,181.28,57.2,473,692.1,708.21,700.155
44.31,132.13,23.37,179.67,55.59,473,691.29,706.6,698.945
42.7,130.52,24.17,183.7,55.59,473,690.48,703.38,696.93
43.51,132.13,24.17,182.09,58.01,473,686.46,704.18,695.32
42.7,130.52,23.37,180.48,57.2,473,684.04,700.15,692.095
41.09,126.49,24.17,182.09,58.82,473,681.62,700.15,690.885
39.48,129.72,23.37,181.28,58.01,473,680.01,697.74,688.875
41.9,127.3,22.56,180.48,56.4,473,675.18,693.71,684.445
41.9,125.69,24.17,181.28,58.01,473,674.37,692.1,683.235
43.51,130.52,24.98,179.67,58.01,473,672.76,688.87,680.815
41.9,128.11,23.37,179.67,57.2,473,667.12,688.07,677.595
39.48,127.3,24.17,179.67,56.4,473,667.93,688.07,678
40.28,128.11,23.37,178.87,57.2,473,663.9,684.85,674.375
42.7,128.91,21.75,181.28,58.01,473,664.7,682.43,673.565
40.28,128.11,22.56,179.67,58.01,473,660.67,680.82,670.745
40.28,124.88,23.37,179.67,58.82,473,655.84,679.21,667.525
37.87,124.88,23.37,179.67,58.01,473,656.65,677.59,667.12
38.67,124.88,21.75,178.87,58.01,473,654.23,674.37,664.3
41.09,126.49,22.56,179.67,58.01,473,650.2,672.76,661.48
38.67,125.69,24.98,179.67,53.98,473,650.2,668.73,659.465
38.67,125.69,24.17,178.06,56.4,473,649.39,667.93,658.66
58.01,175.64,44.31,257.02,93.46,523,663.9,677.59,670.745
58.82,175.64,42.7,257.02,90.24,523,659.87,675.18,667.525
58.82,175.64,42.7,257.02,91.04,523,657.45,672.76,665.105
58.01,177.25,43.51,257.82,90.24,523,653.42,668.73,661.075
58.82,174.84,43.51,257.02,91.85,523,648.59,666.31,657.45
58.01,175.64,43.51,258.63,91.04,523,648.59,664.7,656.645
53.98,173.23,44.31,256.21,91.04,523,645.37,659.87,652.62
57.2,172.42,44.31,257.02,95.07,523,641.34,656.65,648.995
59.62,174.03,44.31,257.02,92.66,523,638.11,654.23,646.17
56.4,171.61,42.7,256.21,91.04,523,632.47,652.62,642.545
58.82,174.03,43.51,257.02,89.43,523,633.28,648.59,640.935
55.59,172.42,42.7,253.8,91.85,523,629.25,644.56,636.905
56.4,171.61,45.92,257.02,93.46,523,624.42,642.95,633.685
54.79,173.23,42.7,256.21,91.85,523,623.61,640.53,632.07
55.59,171.61,43.51,257.02,91.85,523,620.39,639.73,630.06
55.59,170.81,41.9,256.21,93.46,523,615.55,637.31,626.43
53.18,170.81,45.12,256.21,91.04,523,614.75,635.7,625.225
53.18,169.2,42.7,254.6,93.46,523,610.72,633.28,622
53.98,170,41.9,254.6,91.85,523,611.53,628.45,619.99
55.59,170,43.51,255.41,90.24,523,604.28,625.22,614.75
72.51,217.54,72.51,345.65,136.97,573,580.91,606.69,593.8
77.35,223.18,72.51,344.03,137.77,573,580.1,605.08,592.59
80.57,225.6,73.32,343.23,136.97,573,576.08,601.05,588.565
81.38,228.01,73.32,342.42,138.58,573,573.66,597.02,585.34
81.38,224.79,71.71,340.01,137.77,573,568.02,591.38,579.7
78.96,224.79,74.12,340.81,137.77,573,563.99,588.97,576.48
80.57,225.6,71.71,339.2,139.39,573,561.57,587.36,574.465
81.38,223.18,74.12,341.62,136.97,573,557.54,584.13,570.835
81.38,223.18,72.51,342.42,135.36,573,550.29,581.72,566.005
78.15,224.79,72.51,341.62,139.39,573,547.88,576.88,562.38
80.57,224.79,74.12,342.42,136.16,573,545.46,574.46,559.96
78.96,219.96,74.12,342.42,137.77,573,545.46,574.46,559.96
75.74,219.96,74.12,340.81,136.16,573,539.01,568.82,553.915
78.15,220.76,74.12,339.2,136.16,573,534.18,566.41,550.295
75.74,217.54,74.93,340.81,139.39,573,534.18,564.8,549.49
78.96,218.34,74.12,340.01,137.77,573,530.15,562.38,546.265
78.96,223.18,74.12,340.01,138.58,573,528.54,558.35,543.445
75.74,218.34,74.12,336.78,136.16,573,524.51,555.93,540.22
73.32,215.93,73.32,339.2,137.77,573,521.29,555.13,538.21
73.32,212.7,74.12,338.39,136.16,573,518.07,551.9,534.985
111.19,288.44,123.27,440.72,202.23,623,466.5,485.03,475.765
111.19,283.61,123.27,442.33,204.65,623,462.47,482.61,472.54
108.77,284.41,122.47,442.33,205.45,623,458.44,480.2,469.32
107.96,284.41,121.66,440.72,203.84,623,454.41,472.95,463.68
105.55,281.19,122.47,440.72,204.65,623,450.39,471.33,460.86
109.58,282.8,121.66,441.52,204.65,623,449.58,466.5,458.04
109.58,282.8,122.47,440.72,204.65,623,443.94,461.67,452.805
107.16,281.99,120.86,441.52,202.23,623,441.52,460.05,450.785
102.32,273.94,120.86,439.91,204.65,623,437.5,457.64,447.57
103.13,276.36,121.66,441.52,203.04,623,434.27,452.8,443.535
106.35,276.36,123.27,439.91,203.84,623,429.44,449.58,439.51
106.35,277.97,121.66,438.3,202.23,623,428.63,447.97,438.3
107.16,275.55,123.27,441.52,205.45,623,424.6,445.55,435.075
105.55,276.36,122.47,438.3,203.84,623,420.58,439.11,429.845
103.94,277.16,122.47,439.91,205.45,623,417.35,439.11,428.23
106.35,277.97,123.27,437.5,203.84,623,414.13,435.08,424.605
106.35,276.36,122.47,435.08,203.04,623,411.71,432.66,422.185
103.94,277.97,119.24,439.11,203.84,623,407.68,426.22,416.95
103.94,275.55,122.47,439.11,202.23,623,403.66,425.41,414.535
102.32,273.13,123.27,437.5,203.84,623,401.24,422.99,412.115
154.69,356.12,186.92,553.52,283.61,673,515.65,521.29,518.47
153.89,356.93,187.73,555.13,284.41,673,511.62,517.26,514.44
153.89,356.93,187.73,552.71,284.41,673,504.37,513.23,508.8
159.53,363.37,186.12,553.52,284.41,673,497.92,505.17,501.545
159.53,362.57,186.92,555.13,284.41,673,493.89,500.34,497.115
155.5,363.37,186.12,552.71,281.99,673,485.84,494.7,490.27
155.5,357.73,186.12,555.13,282.8,673,481,488.25,484.625
156.31,362.57,186.92,551.9,282.8,673,474.56,484.23,479.395
155.5,360.15,185.31,552.71,282.8,673,469.72,478.59,474.155
157.92,357.73,186.92,550.29,283.61,673,464.08,473.75,468.915
155.5,356.93,189.34,554.32,283.61,673,457.64,468.92,463.28
155.5,359.34,186.12,551.9,283.61,673,455.22,464.08,459.65
153.08,356.12,186.92,551.9,284.41,673,448.77,459.25,454.01
152.28,350.48,186.92,549.49,286.02,673,440.72,455.22,447.97
153.08,350.48,186.12,548.68,285.22,673,439.91,450.39,445.15
151.47,350.48,188.53,547.07,281.99,673,433.47,445.55,439.51
153.89,350.48,186.12,547.07,282.8,673,426.22,440.72,433.47
152.28,347.26,186.92,546.26,284.41,673,424.6,438.3,431.45
149.86,343.23,185.31,547.07,283.61,673,418.16,435.88,427.02
148.25,344.84,187.73,547.88,282.8,673,414.94,425.41,420.175
215.93,441.52,279.58,672.76,395.6,723,398.82,413.32,406.07
213.51,439.91,279.58,671.95,397.21,723,390.76,406.88,398.82
210.29,435.88,278.77,669.54,396.4,723,385.93,403.66,394.795
210.29,431.86,281.19,672.76,398.02,723,382.71,398.02,390.365
212.7,434.27,281.19,675.18,398.02,723,374.65,393.18,383.915
209.48,433.47,278.77,670.34,396.4,723,369.82,387.54,378.68
207.87,427.83,281.19,671.15,398.02,723,365.79,384.32,375.055
203.04,424.6,281.19,667.93,396.4,723,360.15,377.87,369.01
206.26,425.41,281.19,670.34,397.21,723,353.7,373.04,363.37
206.26,431.05,279.58,668.73,398.02,723,350.48,368.2,359.34
204.65,427.02,281.99,671.15,394.79,723,344.84,361.76,353.3
207.06,424.6,281.19,668.73,397.21,723,339.2,357.73,348.465
200.62,417.35,279.58,667.12,393.99,723,335.98,350.48,343.23
199.81,418.96,281.19,665.51,396.4,723,331.14,348.06,339.6
204.65,424.6,281.99,664.7,397.21,723,324.7,344.03,334.365
202.23,420.58,279.58,665.51,395.6,723,320.67,340.81,330.74
199.01,414.13,281.19,662.29,396.4,723,315.03,338.39,326.71
198.2,412.52,281.19,664.7,395.6,723,313.42,330.34,321.88
199.01,412.52,278.77,663.9,395.6,723,306.97,327.11,317.04
199.81,415.74,281.19,666.31,396.4,723,304.55,325.5,315.025
269.91,499.53,390.76,792,507.59,773,352.09,368.2,360.145
258.63,489.87,390.76,789.59,507.59,773,347.26,362.57,354.915
257.02,485.84,390.76,786.36,507.59,773,341.62,356.93,349.275
254.6,480.2,389.96,784.75,507.59,773,335.17,352.09,343.63
252.99,480.2,391.57,786.36,507.59,773,330.34,343.23,336.785
252.99,478.59,391.57,785.56,505.98,773,326.31,338.39,332.35
257.02,484.23,390.76,786.36,508.4,773,319.86,335.98,327.92
255.41,477.78,390.76,784.75,506.79,773,313.42,330.34,321.88
248.16,472.95,389.15,781.53,506.79,773,311,324.7,317.85
247.35,468.92,390.76,783.95,505.98,773,304.55,321.47,313.01
250.57,468.92,390.76,784.75,508.4,773,300.53,315.03,307.78
248.96,469.72,389.96,785.56,507.59,773,296.5,310.19,303.345
243.32,463.28,389.96,781.53,507.59,773,292.47,306.17,299.32
245.74,464.08,390.76,781.53,507.59,773,287.63,303.75,295.69
249.77,469.72,389.96,783.14,507.59,773,282.8,298.91,290.855
249.77,467.31,389.96,784.75,506.79,773,279.58,291.66,285.62
247.35,464.89,390.76,783.14,507.59,773,274.74,291.66,283.2
246.54,460.86,391.57,779.92,507.59,773,269.1,283.61,276.355
245.74,460.86,391.57,780.72,507.59,773,265.88,280.38,273.13
248.16,462.47,391.57,780.72,505.98,773,261.05,276.36,268.705
